ano,mes,data,regiao,uf,cidade,temperatura_media,temperatura_maxima,temperatura_minima,chuva_mm,umidade,velocidade_vento,eventos_extremos,nivel_alerta
2015,1,2015-01-01,Sudeste,RJ,Rio de Janeiro,23.7,27.0,19.0,170.6,75.3,27.8,0,Crítico
2015,1,2015-01-01,Sudeste,RJ,Niterói,31.4,36.8,26.4,143.1,80.1,15.5,1,Crítico
2015,1,2015-01-01,Sudeste,RJ,Nova Iguaçu,29.1,32.8,22.8,145.1,89.3,9.0,3,Baixo
2015,1,2015-01-01,Sudeste,RJ,Petrópolis,31.4,34.5,26.0,63.1,42.2,2.1,2,Alto
2015,1,2015-01-01,Sudeste,MG,Belo Horizonte,23.4,29.2,17.5,50.5,89.9,17.6,2,Baixo
2015,1,2015-01-01,Sudeste,MG,Uberlândia,25.2,32.1,21.8,44.7,90.2,32.8,1,Médio
2015,1,2015-01-01,Sudeste,MG,Juiz de Fora,31.1,38.0,25.0,175.5,49.7,4.9,3,Baixo
2015,1,2015-01-01,Sudeste,ES,Vitória,28.1,33.2,23.9,92.9,36.3,13.4,3,Alto
2015,1,2015-01-01,Sudeste,ES,Vila Velha,27.5,32.6,21.7,105.9,41.6,15.4,2,Alto
2015,1,2015-01-01,Sudeste,ES,Serra,27.9,31.9,24.6,62.2,82.9,25.9,0,Crítico
2015,1,2015-01-01,Sul,PR,Curitiba,27.8,34.7,23.8,64.4,52.0,22.9,1,Médio
2015,1,2015-01-01,Sul,PR,Londrina,22.4,29.9,18.5,57.3,86.8,23.4,0,Crítico
2015,1,2015-01-01,Sul,SC,Florianópolis,29.7,37.0,24.8,77.3,73.7,16.6,2,Baixo
2015,1,2015-01-01,Sul,SC,Joinville,30.2,34.1,26.4,118.7,65.7,27.2,1,Baixo
2015,1,2015-01-01,Sul,RS,Porto Alegre,29.6,37.1,24.8,76.3,48.6,4.0,4,Crítico
2015,1,2015-01-01,Sul,RS,Caxias do Sul,18.7,25.4,13.6,53.0,72.0,16.6,1,Crítico
2015,2,2015-02-01,Norte,AM,Manaus,22.1,27.3,18.3,45.6,83.1,19.4,1,Médio
2015,2,2015-02-01,Norte,PA,Belém,20.1,27.8,15.6,188.7,85.5,31.9,0,Baixo
2015,2,2015-02-01,Norte,PA,Santarém,26.1,33.6,19.4,97.7,78.0,34.9,5,Médio
2015,2,2015-02-01,Norte,RO,Porto Velho,23.5,26.9,17.9,90.0,37.7,8.2,0,Crítico
2015,2,2015-02-01,Norte,TO,Palmas,22.6,30.1,18.9,79.4,60.9,17.6,2,Baixo
2015,2,2015-02-01,Nordeste,BA,Salvador,26.2,32.7,21.1,172.9,66.0,20.3,3,Crítico
2015,2,2015-02-01,Nordeste,BA,Feira de Santana,27.9,31.4,23.4,230.9,51.0,10.5,1,Médio
2015,2,2015-02-01,Nordeste,PE,Recife,25.7,31.2,21.3,54.9,62.0,8.3,3,Alto
2015,2,2015-02-01,Nordeste,PE,Jaboatão dos Guararapes,20.1,26.2,16.1,252.6,35.7,21.9,2,Baixo
2015,2,2015-02-01,Nordeste,CE,Fortaleza,29.5,34.4,25.2,77.2,58.3,8.1,1,Baixo
2015,2,2015-02-01,Nordeste,CE,Juazeiro do Norte,24.0,28.2,18.5,183.5,46.1,10.1,2,Crítico
2015,2,2015-02-01,Nordeste,MA,São Luís,26.7,33.0,21.3,83.2,78.4,34.0,0,Baixo
2015,2,2015-02-01,Nordeste,PB,João Pessoa,20.0,27.2,15.1,28.2,96.4,6.6,3,Médio
2015,2,2015-02-01,Centro-Oeste,DF,Brasília,34.0,40.7,27.1,96.1,75.5,12.2,0,Baixo
2015,2,2015-02-01,Centro-Oeste,GO,Goiânia,26.1,32.1,22.7,83.1,56.3,32.2,2,Baixo
2015,2,2015-02-01,Centro-Oeste,GO,Aparecida de Goiânia,31.6,37.4,28.4,314.4,87.6,31.9,1,Crítico
2015,2,2015-02-01,Centro-Oeste,MT,Cuiabá,21.6,27.9,17.4,37.7,58.8,15.3,4,Baixo
2015,2,2015-02-01,Centro-Oeste,MS,Campo Grande,28.8,33.0,25.6,37.5,40.3,12.1,4,Alto
2015,2,2015-02-01,Sudeste,SP,São Paulo,24.1,29.1,17.5,123.7,69.9,31.9,3,Baixo
2015,2,2015-02-01,Sudeste,SP,Campinas,31.0,34.0,26.4,154.1,96.0,17.5,1,Alto
2015,2,2015-02-01,Sudeste,SP,Ribeirão Preto,22.7,28.9,17.0,37.9,56.6,34.3,3,Alto
2015,2,2015-02-01,Sudeste,RJ,Rio de Janeiro,22.8,29.5,16.1,124.5,35.2,32.2,1,Crítico
2015,2,2015-02-01,Sudeste,RJ,Niterói,39.3,45.4,33.4,46.9,38.4,21.1,4,Crítico
2015,2,2015-02-01,Sudeste,RJ,Nova Iguaçu,28.5,33.6,23.4,54.0,52.8,21.0,2,Médio
2015,2,2015-02-01,Sudeste,RJ,Petrópolis,25.0,30.6,19.5,77.1,88.3,19.4,4,Alto
2015,2,2015-02-01,Sudeste,MG,Belo Horizonte,31.0,34.4,24.1,122.1,88.1,31.0,4,Crítico
2015,2,2015-02-01,Sudeste,MG,Uberlândia,25.7,29.3,22.2,40.3,44.2,17.4,1,Alto
2015,2,2015-02-01,Sudeste,MG,Juiz de Fora,31.2,34.2,24.5,80.0,53.2,2.2,1,Médio
2015,2,2015-02-01,Sudeste,ES,Vitória,22.3,26.3,16.7,77.9,42.1,2.2,4,Crítico
2015,2,2015-02-01,Sudeste,ES,Vila Velha,28.8,34.4,25.4,44.9,74.1,29.1,0,Médio
2015,2,2015-02-01,Sudeste,ES,Serra,26.3,30.4,19.5,149.2,80.0,24.7,1,Alto
2015,2,2015-02-01,Sul,PR,Curitiba,18.3,22.5,12.1,84.4,41.3,20.1,1,Baixo
2015,2,2015-02-01,Sul,PR,Londrina,26.0,32.8,21.5,215.0,82.9,10.4,0,Médio
2015,2,2015-02-01,Sul,SC,Florianópolis,19.2,23.9,14.3,108.5,37.0,8.2,1,Baixo
2015,2,2015-02-01,Sul,SC,Joinville,22.1,28.1,18.3,84.3,59.0,17.7,2,Crítico
2015,2,2015-02-01,Sul,RS,Porto Alegre,19.6,26.9,16.3,23.8,84.2,34.5,1,Crítico
2015,2,2015-02-01,Sul,RS,Caxias do Sul,30.5,38.4,23.7,96.3,80.4,31.6,1,Alto
2015,3,2015-03-01,Norte,AM,Manaus,19.4,23.8,14.7,194.2,53.6,15.0,1,Crítico
2015,3,2015-03-01,Norte,PA,Belém,22.4,26.6,17.1,104.8,78.0,17.5,6,Médio
2015,3,2015-03-01,Norte,PA,Santarém,28.2,32.5,22.7,90.7,67.9,32.7,0,Baixo
2015,3,2015-03-01,Norte,RO,Porto Velho,25.2,32.4,18.3,30.9,52.0,11.6,0,Médio
2015,3,2015-03-01,Norte,TO,Palmas,27.2,30.4,23.9,74.2,83.5,10.4,2,Baixo
2015,3,2015-03-01,Nordeste,BA,Salvador,26.1,31.3,20.0,247.0,75.0,6.5,5,Baixo
2015,3,2015-03-01,Nordeste,BA,Feira de Santana,30.1,36.2,24.2,209.2,52.1,16.7,4,Baixo
2015,3,2015-03-01,Nordeste,PE,Recife,28.0,34.3,23.7,37.0,95.8,17.1,2,Baixo
2015,3,2015-03-01,Nordeste,PE,Jaboatão dos Guararapes,17.5,21.5,10.7,66.2,38.8,4.0,5,Baixo
2015,3,2015-03-01,Nordeste,CE,Fortaleza,32.6,40.4,28.4,177.7,87.4,29.3,1,Crítico
2015,3,2015-03-01,Nordeste,CE,Juazeiro do Norte,23.9,27.4,20.3,239.6,71.1,28.9,2,Baixo
2015,3,2015-03-01,Nordeste,MA,São Luís,25.4,30.6,21.1,50.6,44.0,29.5,2,Baixo
2015,3,2015-03-01,Nordeste,PB,João Pessoa,26.0,32.6,20.3,142.6,64.9,24.5,2,Baixo
2015,3,2015-03-01,Centro-Oeste,DF,Brasília,23.7,31.7,18.4,91.5,40.7,13.8,1,Crítico
2015,3,2015-03-01,Centro-Oeste,GO,Goiânia,30.2,36.7,24.5,44.4,41.8,13.7,1,Crítico
2015,3,2015-03-01,Centro-Oeste,GO,Aparecida de Goiânia,25.3,31.0,19.3,153.2,78.5,11.6,1,Crítico
2015,3,2015-03-01,Centro-Oeste,MT,Cuiabá,24.4,31.2,20.4,29.2,62.3,18.1,1,Alto
2015,3,2015-03-01,Centro-Oeste,MS,Campo Grande,28.5,32.5,23.6,208.2,66.6,26.2,4,Baixo
2015,3,2015-03-01,Sudeste,SP,São Paulo,27.2,30.6,21.4,122.4,79.5,26.7,1,Baixo
2015,3,2015-03-01,Sudeste,SP,Campinas,23.8,30.2,18.0,155.2,57.5,17.0,2,Médio
2015,3,2015-03-01,Sudeste,SP,Ribeirão Preto,31.7,37.4,25.2,137.3,76.3,27.4,2,Baixo
2015,3,2015-03-01,Sudeste,RJ,Rio de Janeiro,22.9,28.4,19.1,107.3,44.3,8.7,2,Médio
2015,3,2015-03-01,Sudeste,RJ,Niterói,30.4,37.8,26.8,119.7,35.2,16.7,4,Médio
2015,3,2015-03-01,Sudeste,RJ,Nova Iguaçu,30.0,35.0,25.2,59.5,35.0,19.9,0,Alto
2015,3,2015-03-01,Sudeste,RJ,Petrópolis,23.1,26.7,19.1,135.1,80.3,9.2,0,Baixo
2015,3,2015-03-01,Sudeste,MG,Belo Horizonte,22.5,26.0,16.0,147.6,62.0,34.4,5,Médio
2015,3,2015-03-01,Sudeste,MG,Uberlândia,30.4,37.8,24.3,21.7,79.4,17.4,0,Médio
2015,3,2015-03-01,Sudeste,MG,Juiz de Fora,22.9,29.2,17.3,127.8,65.2,30.8,1,Médio
2015,3,2015-03-01,Sudeste,ES,Vitória,22.3,28.7,18.2,89.5,49.7,3.5,2,Baixo
2015,3,2015-03-01,Sudeste,ES,Vila Velha,28.0,33.8,22.8,68.5,60.5,26.7,1,Médio
2015,3,2015-03-01,Sudeste,ES,Serra,23.1,28.4,17.8,122.7,55.7,14.0,2,Alto
2015,3,2015-03-01,Sul,PR,Curitiba,27.4,34.5,21.8,325.6,76.2,21.2,3,Baixo
2015,3,2015-03-01,Sul,PR,Londrina,27.6,30.7,23.5,70.5,94.9,7.8,0,Alto
2015,3,2015-03-01,Sul,SC,Florianópolis,22.5,27.2,19.0,38.6,68.1,13.3,1,Alto
2015,3,2015-03-01,Sul,SC,Joinville,23.4,28.2,20.3,173.4,81.3,16.8,3,Médio
2015,3,2015-03-01,Sul,RS,Porto Alegre,33.5,36.9,26.6,304.9,60.4,4.6,0,Baixo
2015,3,2015-03-01,Sul,RS,Caxias do Sul,17.3,23.1,10.3,156.1,90.9,10.6,3,Médio
2015,4,2015-04-01,Norte,AM,Manaus,26.7,31.1,21.9,36.6,78.3,9.8,4,Médio
2015,4,2015-04-01,Norte,PA,Belém,28.9,35.5,23.5,102.9,74.1,32.6,2,Alto
2015,4,2015-04-01,Norte,PA,Santarém,22.1,29.0,17.1,92.5,35.6,26.8,0,Baixo
2015,4,2015-04-01,Norte,RO,Porto Velho,22.8,27.1,17.5,75.3,76.3,32.6,3,Médio
2015,4,2015-04-01,Norte,TO,Palmas,22.8,29.6,18.2,250.3,53.2,19.1,1,Baixo
2015,4,2015-04-01,Nordeste,BA,Salvador,21.9,28.3,17.8,86.4,90.4,4.5,0,Médio
2015,4,2015-04-01,Nordeste,BA,Feira de Santana,20.6,24.3,15.4,124.7,95.5,4.2,2,Crítico
2015,4,2015-04-01,Nordeste,PE,Recife,20.4,26.9,13.5,226.1,48.1,8.7,2,Baixo
2015,4,2015-04-01,Nordeste,PE,Jaboatão dos Guararapes,23.2,26.2,18.1,79.3,86.0,21.0,1,Alto
2015,4,2015-04-01,Nordeste,CE,Fortaleza,25.3,30.4,19.6,42.0,66.6,34.1,0,Baixo
2015,4,2015-04-01,Nordeste,CE,Juazeiro do Norte,26.5,34.1,23.2,126.5,92.9,29.7,1,Crítico
2015,4,2015-04-01,Nordeste,MA,São Luís,28.2,33.5,25.0,80.0,35.5,2.7,4,Crítico
2015,4,2015-04-01,Nordeste,PB,João Pessoa,34.4,41.4,28.7,119.9,40.3,25.1,5,Médio
2015,4,2015-04-01,Centro-Oeste,DF,Brasília,16.5,22.4,10.5,115.3,66.9,19.5,2,Crítico
2015,4,2015-04-01,Centro-Oeste,GO,Goiânia,23.1,29.2,17.1,105.3,64.5,21.8,1,Baixo
2015,4,2015-04-01,Centro-Oeste,GO,Aparecida de Goiânia,24.2,28.5,20.1,107.5,62.9,11.4,2,Baixo
2015,4,2015-04-01,Centro-Oeste,MT,Cuiabá,24.5,32.1,21.2,41.2,71.7,24.1,2,Alto
2015,4,2015-04-01,Centro-Oeste,MS,Campo Grande,31.3,34.7,26.7,24.9,49.8,2.8,2,Crítico
2015,4,2015-04-01,Sudeste,SP,São Paulo,32.3,36.0,29.0,88.9,37.3,13.1,2,Baixo
2015,4,2015-04-01,Sudeste,SP,Campinas,20.2,25.6,16.6,14.1,74.0,28.5,2,Baixo
2015,4,2015-04-01,Sudeste,SP,Ribeirão Preto,17.5,21.4,11.6,214.6,81.0,11.1,1,Baixo
2015,4,2015-04-01,Sudeste,RJ,Rio de Janeiro,28.5,34.0,23.7,118.0,43.9,28.9,4,Baixo
2015,4,2015-04-01,Sudeste,RJ,Niterói,25.7,29.0,19.7,35.9,57.0,8.8,4,Médio
2015,4,2015-04-01,Sudeste,RJ,Nova Iguaçu,27.1,34.3,21.3,73.0,69.2,18.1,2,Alto
2015,4,2015-04-01,Sudeste,RJ,Petrópolis,17.3,23.5,10.6,129.6,43.8,17.7,1,Alto
2015,4,2015-04-01,Sudeste,MG,Belo Horizonte,15.2,18.3,9.0,42.9,60.5,30.0,2,Crítico
2015,4,2015-04-01,Sudeste,MG,Uberlândia,27.4,35.1,21.9,109.3,63.0,3.2,2,Crítico
2015,4,2015-04-01,Sudeste,MG,Juiz de Fora,26.0,29.8,20.7,97.1,81.2,16.7,1,Médio
2015,4,2015-04-01,Sudeste,ES,Vitória,13.7,21.0,10.6,109.7,49.4,18.5,3,Crítico
2015,4,2015-04-01,Sudeste,ES,Vila Velha,24.7,30.8,18.9,63.6,93.1,26.9,3,Crítico
2015,4,2015-04-01,Sudeste,ES,Serra,24.4,29.6,20.5,102.1,72.6,33.6,3,Crítico
2015,4,2015-04-01,Sul,PR,Curitiba,27.2,30.9,21.1,117.9,92.3,19.0,1,Baixo
2015,4,2015-04-01,Sul,PR,Londrina,20.2,27.2,16.2,37.9,36.8,19.3,4,Alto
2015,4,2015-04-01,Sul,SC,Florianópolis,29.1,33.1,22.8,137.5,78.1,10.4,2,Baixo
2015,4,2015-04-01,Sul,SC,Joinville,21.5,27.8,15.1,28.8,50.4,28.3,0,Baixo
2015,4,2015-04-01,Sul,RS,Porto Alegre,26.6,30.2,21.3,157.8,65.7,31.6,1,Baixo
2015,4,2015-04-01,Sul,RS,Caxias do Sul,28.4,34.0,21.9,76.5,63.9,30.2,2,Crítico
2015,5,2015-05-01,Norte,AM,Manaus,22.7,25.9,17.2,72.1,51.2,2.8,6,Médio
2015,5,2015-05-01,Norte,PA,Belém,28.0,31.8,21.9,31.9,58.3,18.5,4,Baixo
2015,5,2015-05-01,Norte,PA,Santarém,24.4,28.5,19.5,164.8,74.9,24.0,2,Alto
2015,5,2015-05-01,Norte,RO,Porto Velho,22.0,26.7,15.5,89.7,94.5,24.9,2,Baixo
2015,5,2015-05-01,Norte,TO,Palmas,29.8,33.5,24.4,112.2,60.5,27.8,5,Alto
2015,5,2015-05-01,Nordeste,BA,Salvador,30.8,35.1,26.3,152.4,88.5,6.5,2,Alto
2015,5,2015-05-01,Nordeste,BA,Feira de Santana,23.8,29.4,19.8,49.8,51.2,18.4,2,Baixo
2015,5,2015-05-01,Nordeste,PE,Recife,26.0,31.6,22.9,136.2,57.1,11.8,6,Alto
2015,5,2015-05-01,Nordeste,PE,Jaboatão dos Guararapes,25.8,29.9,18.9,62.4,46.5,28.9,1,Crítico
2015,5,2015-05-01,Nordeste,CE,Fortaleza,35.7,41.1,31.6,192.7,86.3,16.9,3,Baixo
2015,5,2015-05-01,Nordeste,CE,Juazeiro do Norte,21.4,26.8,16.2,63.1,39.1,27.3,3,Alto
2015,5,2015-05-01,Nordeste,MA,São Luís,19.5,22.8,14.7,340.1,84.4,19.3,5,Médio
2015,5,2015-05-01,Nordeste,PB,João Pessoa,25.6,33.1,20.5,128.1,74.1,8.2,5,Crítico
2015,5,2015-05-01,Centro-Oeste,DF,Brasília,27.2,31.2,20.9,195.8,91.9,6.7,1,Médio
2015,5,2015-05-01,Centro-Oeste,GO,Goiânia,24.1,29.2,20.6,32.6,59.3,33.1,2,Crítico
2015,5,2015-05-01,Centro-Oeste,GO,Aparecida de Goiânia,18.7,24.1,13.7,69.6,60.3,32.2,1,Baixo
2015,5,2015-05-01,Centro-Oeste,MT,Cuiabá,25.4,31.3,19.2,59.9,51.0,31.6,2,Baixo
2015,5,2015-05-01,Centro-Oeste,MS,Campo Grande,26.8,30.8,22.0,68.4,76.4,25.8,2,Alto
2015,5,2015-05-01,Sudeste,SP,São Paulo,27.5,31.3,23.2,296.8,50.3,33.5,2,Alto
2015,5,2015-05-01,Sudeste,SP,Campinas,23.1,29.9,19.4,84.6,52.3,3.3,0,Alto
2015,5,2015-05-01,Sudeste,SP,Ribeirão Preto,26.8,32.9,23.4,79.6,50.9,9.3,2,Alto
2015,5,2015-05-01,Sudeste,RJ,Rio de Janeiro,29.1,33.9,25.7,105.8,63.1,18.7,0,Médio
2015,5,2015-05-01,Sudeste,RJ,Niterói,27.4,33.2,23.7,76.2,94.4,24.2,1,Baixo
2015,5,2015-05-01,Sudeste,RJ,Nova Iguaçu,21.9,27.9,16.5,62.0,36.3,28.6,3,Alto
2015,5,2015-05-01,Sudeste,RJ,Petrópolis,26.1,29.7,21.0,113.9,72.6,11.9,1,Alto
2015,5,2015-05-01,Sudeste,MG,Belo Horizonte,29.6,35.1,25.6,89.7,67.6,12.2,1,Crítico
2015,5,2015-05-01,Sudeste,MG,Uberlândia,16.5,20.6,12.8,97.5,96.4,6.5,3,Baixo
2015,5,2015-05-01,Sudeste,MG,Juiz de Fora,23.0,28.5,18.1,98.7,56.1,10.7,1,Médio
2015,5,2015-05-01,Sudeste,ES,Vitória,23.4,28.8,19.4,59.9,43.4,29.0,1,Baixo
2015,5,2015-05-01,Sudeste,ES,Vila Velha,29.3,36.1,25.7,167.8,57.0,9.2,2,Crítico
2015,5,2015-05-01,Sudeste,ES,Serra,20.5,25.4,15.2,105.3,40.2,18.3,3,Médio
2015,5,2015-05-01,Sul,PR,Curitiba,21.0,26.2,15.6,237.4,81.5,30.1,2,Médio
2015,5,2015-05-01,Sul,PR,Londrina,29.9,37.3,25.5,93.0,53.6,28.6,0,Alto
2015,5,2015-05-01,Sul,SC,Florianópolis,24.3,30.9,18.3,106.4,66.3,18.0,0,Médio
2015,5,2015-05-01,Sul,SC,Joinville,28.3,34.6,23.4,52.6,70.1,29.2,3,Médio
2015,5,2015-05-01,Sul,RS,Porto Alegre,27.3,31.3,23.5,80.7,90.5,25.0,3,Médio
2015,5,2015-05-01,Sul,RS,Caxias do Sul,24.5,28.3,19.2,77.2,56.9,11.0,3,Crítico
2015,6,2015-06-01,Norte,AM,Manaus,24.1,28.3,19.3,52.4,81.1,32.8,2,Médio
2015,6,2015-06-01,Norte,PA,Belém,28.8,35.0,22.7,34.4,92.7,10.1,2,Alto
2015,6,2015-06-01,Norte,PA,Santarém,11.5,15.7,6.8,73.4,72.0,21.8,4,Baixo
2015,6,2015-06-01,Norte,RO,Porto Velho,30.4,34.1,25.7,60.6,83.3,7.9,2,Baixo
2015,6,2015-06-01,Norte,TO,Palmas,28.9,31.9,22.5,84.5,35.0,10.6,2,Baixo
2015,6,2015-06-01,Nordeste,BA,Salvador,22.6,29.9,18.4,256.6,59.9,26.8,2,Alto
2015,6,2015-06-01,Nordeste,BA,Feira de Santana,25.3,32.2,20.3,117.2,82.4,10.5,0,Alto
2015,6,2015-06-01,Nordeste,PE,Recife,30.1,36.4,26.0,140.6,65.2,9.4,1,Baixo
2015,6,2015-06-01,Nordeste,PE,Jaboatão dos Guararapes,21.9,26.4,18.4,54.0,69.1,32.0,1,Alto
2015,6,2015-06-01,Nordeste,CE,Fortaleza,20.8,28.0,16.4,81.4,43.8,6.2,3,Médio
2015,6,2015-06-01,Nordeste,CE,Juazeiro do Norte,29.3,33.9,23.1,89.4,84.4,17.0,1,Médio
2015,6,2015-06-01,Nordeste,MA,São Luís,25.5,31.1,19.4,214.8,70.0,29.7,2,Médio
2015,6,2015-06-01,Nordeste,PB,João Pessoa,26.1,32.4,22.0,57.5,83.1,20.0,3,Crítico
2015,6,2015-06-01,Centro-Oeste,DF,Brasília,28.7,36.4,22.3,150.2,79.4,10.1,4,Médio
2015,6,2015-06-01,Centro-Oeste,GO,Goiânia,23.6,28.4,19.2,174.3,67.7,16.5,1,Médio
2015,6,2015-06-01,Centro-Oeste,GO,Aparecida de Goiânia,24.5,32.1,19.3,59.9,79.4,17.9,2,Médio
2015,6,2015-06-01,Centro-Oeste,MT,Cuiabá,24.0,31.3,20.9,91.9,51.9,5.0,2,Crítico
2015,6,2015-06-01,Centro-Oeste,MS,Campo Grande,25.2,30.3,21.9,15.9,63.6,7.8,1,Baixo
2015,6,2015-06-01,Sudeste,SP,São Paulo,21.1,28.7,15.0,111.0,74.7,22.5,1,Médio
2015,6,2015-06-01,Sudeste,SP,Campinas,25.8,32.3,20.2,280.0,41.7,10.3,4,Alto
2015,6,2015-06-01,Sudeste,SP,Ribeirão Preto,25.0,28.3,21.0,114.8,40.2,4.2,2,Médio
2015,6,2015-06-01,Sudeste,RJ,Rio de Janeiro,24.9,28.6,19.3,123.7,41.0,2.8,1,Alto
2015,6,2015-06-01,Sudeste,RJ,Niterói,27.4,34.2,20.9,162.7,84.2,33.2,3,Alto
2015,6,2015-06-01,Sudeste,RJ,Nova Iguaçu,33.4,39.6,29.4,50.3,96.7,7.5,2,Baixo
2015,6,2015-06-01,Sudeste,RJ,Petrópolis,28.3,32.8,23.1,28.6,65.3,14.9,0,Alto
2015,6,2015-06-01,Sudeste,MG,Belo Horizonte,25.0,32.0,18.8,22.7,65.1,8.9,5,Médio
2015,6,2015-06-01,Sudeste,MG,Uberlândia,24.9,29.2,21.4,52.5,94.4,24.5,1,Crítico
2015,6,2015-06-01,Sudeste,MG,Juiz de Fora,22.6,28.6,19.2,288.2,77.4,13.7,2,Baixo
2015,6,2015-06-01,Sudeste,ES,Vitória,23.0,26.5,18.2,91.7,84.6,26.8,4,Alto
2015,6,2015-06-01,Sudeste,ES,Vila Velha,28.6,31.8,25.3,44.8,70.7,32.6,1,Crítico
2015,6,2015-06-01,Sudeste,ES,Serra,27.0,33.3,21.1,126.4,55.3,25.4,3,Alto
2015,6,2015-06-01,Sul,PR,Curitiba,28.8,33.0,23.1,61.4,62.8,16.5,2,Baixo
2015,6,2015-06-01,Sul,PR,Londrina,21.1,25.8,15.2,138.1,44.7,25.0,3,Crítico
2015,6,2015-06-01,Sul,SC,Florianópolis,16.8,24.4,9.9,73.7,44.0,4.5,0,Crítico
2015,6,2015-06-01,Sul,SC,Joinville,21.9,28.3,16.2,165.6,68.2,7.0,2,Crítico
2015,6,2015-06-01,Sul,RS,Porto Alegre,28.2,34.2,21.9,58.0,74.3,16.9,1,Crítico
2015,6,2015-06-01,Sul,RS,Caxias do Sul,22.2,27.4,17.8,73.6,94.9,22.2,5,Baixo
2015,7,2015-07-01,Norte,AM,Manaus,17.2,22.9,10.7,52.6,62.5,31.9,2,Médio
2015,7,2015-07-01,Norte,PA,Belém,22.0,28.1,16.5,157.6,84.2,33.1,1,Baixo
2015,7,2015-07-01,Norte,PA,Santarém,20.7,25.1,17.2,137.6,53.8,9.2,3,Crítico
2015,7,2015-07-01,Norte,RO,Porto Velho,24.1,29.7,20.0,46.1,76.8,2.5,3,Crítico
2015,7,2015-07-01,Norte,TO,Palmas,26.1,30.1,22.2,144.7,59.3,18.9,0,Baixo
2015,7,2015-07-01,Nordeste,BA,Salvador,28.9,35.5,22.4,107.2,78.8,12.8,1,Baixo
2015,7,2015-07-01,Nordeste,BA,Feira de Santana,23.9,30.0,19.0,131.8,70.4,15.6,2,Alto
2015,7,2015-07-01,Nordeste,PE,Recife,24.6,29.1,20.8,19.1,83.7,3.7,3,Médio
2015,7,2015-07-01,Nordeste,PE,Jaboatão dos Guararapes,20.5,27.0,15.3,129.5,89.7,29.2,1,Crítico
2015,7,2015-07-01,Nordeste,CE,Fortaleza,27.7,31.6,21.7,221.6,57.4,6.3,3,Médio
2015,7,2015-07-01,Nordeste,CE,Juazeiro do Norte,30.0,35.0,26.6,245.7,68.8,16.1,2,Baixo
2015,7,2015-07-01,Nordeste,MA,São Luís,23.9,31.6,19.7,281.5,67.3,5.2,0,Alto
2015,7,2015-07-01,Nordeste,PB,João Pessoa,21.9,29.1,18.0,207.3,47.6,4.6,0,Baixo
2015,7,2015-07-01,Centro-Oeste,DF,Brasília,23.0,29.4,16.9,83.1,74.4,16.5,1,Baixo
2015,7,2015-07-01,Centro-Oeste,GO,Goiânia,24.1,27.1,18.6,89.0,85.4,34.5,1,Baixo
